time                           architecture cpu_name guest guestnice hardirq host   idle   iowait mtm     nice os     serial_no softirq steal sys   user
----                           ------------ -------- ----- --------- ------- ----   ----   ------ ---     ---- --     --------- ------- ----- ---   ----
2023-12-07T13:45:40.334291287Z aarch64      cpu0     0     0         0       node-5 94.033 1.133  unknown 0    Ubuntu unknown   0.033   0     1.533 2.433
2023-12-07T13:45:40.334291287Z aarch64      cpu1     0     0         0       node-5 95.2   0.633  unknown 0    Ubuntu unknown   0.033   0     1.467 2.033
2023-12-07T13:45:40.334291287Z aarch64      cpu2     0     0         0       node-5 95.666 0.267  unknown 0    Ubuntu unknown   0.033   0     1.267 1.967
2023-12-07T13:45:40.334291287Z aarch64      cpu3     0     0         0       node-5 95.133 0.767  unknown 0    Ubuntu unknown   0.033   0     1.367 2.233
2023-12-07T13:45:40.334291287Z aarch64      cpu4     0     0         0       node-5 95.466 0.167  unknown 0    Ubuntu unknown   0.1     0     1.5   2.233
2023-12-07T13:45:40.334291287Z aarch64      cpu5     0     0         0       node-5 95.3   0.2    unknown 0    Ubuntu unknown   0.033   0     1.533 2.233
2023-12-07T13:45:40.334291287Z aarch64      cpu6     0     0         0       node-5 95.2   0.233  unknown 0    Ubuntu unknown   0       0     1.567 2.5
2023-12-07T13:45:40.334291287Z aarch64      cpu7     0     0         0       node-5 95.266 0.367  unknown 0    Ubuntu unknown   0       0     1.467 2
2023-12-07T13:46:10.334263451Z aarch64      cpu0     0     0         0       node-5 73.066 0.633  unknown 0    Ubuntu unknown   1.767   0     3.533 19.7
2023-12-07T13:46:10.334263451Z aarch64      cpu1     0     0         0       node-5 76.766 0.533  unknown 0    Ubuntu unknown   0.233   0     2.333 19.4
2023-12-07T13:46:10.334263451Z aarch64      cpu2     0     0         0       node-5 75.2   0.133  unknown 0    Ubuntu unknown   0.433   0     3.467 19.9
2023-12-07T13:46:10.334263451Z aarch64      cpu3     0     0         0       node-5 75.633 0.367  unknown 0    Ubuntu unknown   0.267   0     3     19.633
2023-12-07T13:46:10.334263451Z aarch64      cpu4     0     0         0       node-5 76.466 0.1    unknown 0    Ubuntu unknown   0.233   0     2.633 19.8
2023-12-07T13:46:10.334263451Z aarch64      cpu5     0     0         0       node-5 76.666 0.067  unknown 0    Ubuntu unknown   0.233   0     2.367 19.9
2023-12-07T13:46:10.334263451Z aarch64      cpu6     0     0         0       node-5 74.033 0.267  unknown 0    Ubuntu unknown   0.267   0     4.9   19.767
2023-12-07T13:46:10.334263451Z aarch64      cpu7     0     0         0       node-5 77.1   0.133  unknown 0    Ubuntu unknown   0.133   0     2.1   19.567
2023-12-07T13:46:40.334500058Z aarch64      cpu0     0     0         0       node-5 39.1   0.033  unknown 0    Ubuntu unknown   3.8     0     5.433 49.533
2023-12-07T13:46:40.334500058Z aarch64      cpu1     0     0         0       node-5 42.766 0.033  unknown 0    Ubuntu unknown   0.633   0     4.4   51.233
