time                           architecture backlog bsize busy  disk_name flush_busy flushes host   inflight mtm     os     reads rkb rmerge rmsec serial_no wkb      wmerge wmsec  writes xfers
----                           ------------ ------- ----- ----  --------- ---------- ------- ----   -------- ---     --     ----- --- ------ ----- --------- ---      ------ -----  ------ -----
2023-12-07T13:45:40.334291287Z aarch64      59.8    80896 3.773 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   141.599  16.4   59.8   16.767 16.767
2023-12-07T13:46:10.334263451Z aarch64      54.666  80896 3.173 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   830.262  10.433 54.666 11.967 11.967
2023-12-07T13:46:40.334500058Z aarch64      4.9     80896 0.44  sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   17.2     2.733  4.9    1.533  1.533
2023-12-07T13:47:10.338014071Z aarch64      43.733  80896 2.493 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   1386.66  4.5    43.733 7.467  7.467
2023-12-07T13:47:40.335113787Z aarch64      37.4    80896 2.16  sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   946.263  4.233  37.367 7.233  7.233
2023-12-07T13:48:10.334601368Z aarch64      33      80896 1.96  sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   924.262  3.733  33.033 6.2    6.2
2023-12-07T13:48:40.335190201Z aarch64      42.633  81920 2.427 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   1403.992 5      42.633 7.2    7.2
2023-12-07T13:49:10.335606853Z aarch64      23.133  81920 1.453 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   476.13   3.867  23.133 5      5
2023-12-07T13:49:40.335728113Z aarch64      44.8    81920 2.587 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   1387.061 4.467  44.8   7.533  7.533
2023-12-07T13:50:10.336199134Z aarch64      37.933  81920 2.173 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   944.928  4.1    37.933 7.133  7.133
2023-12-07T13:50:40.335232859Z aarch64      26.6    81920 1.613 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   478.131  3.533  26.6   5.767  5.767
2023-12-07T13:51:10.335836983Z aarch64      35.533  81920 2.147 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   943.596  4.1    35.533 6.633  6.633
2023-12-07T13:51:40.336251805Z aarch64      33.367  81920 1.973 sda       0          0       node-5 0        unknown Ubuntu 0     0   0      0     unknown   944.529  4.567  33.367 6.167  6.167
