time                           architecture cpu_name guest guestnice hardirq host   idle   iowait mtm     nice os     serial_no softirq steal sys    user
2023-12-06T13:04:04.403774664Z aarch64      cpu0     0     0         0       node-4 96.866 0.133  unknown 0    Ubuntu unknown   0.033   0     1.267  1.833
2023-12-06T13:04:04.403774664Z aarch64      cpu1     0     0         0       node-4 96.766 0.033  unknown 0    Ubuntu unknown   0       0     1.233  2
2023-12-06T13:04:04.403774664Z aarch64      cpu2     0     0         0       node-4 96.866 0.333  unknown 0    Ubuntu unknown   0       0     1.167  1.567
2023-12-06T13:04:04.403774664Z aarch64      cpu3     0     0         0       node-4 96.8   0      unknown 0    Ubuntu unknown   0       0     1.133  2.033
2023-12-06T13:04:04.403774664Z aarch64      cpu4     0     0         0       node-4 96.266 0      unknown 0    Ubuntu unknown   0       0     1.633  2.333
2023-12-06T13:04:04.403774664Z aarch64      cpu5     0     0         0       node-4 96.866 0.033  unknown 0    Ubuntu unknown   0       0     1.233  1.667
2023-12-06T13:04:04.403774664Z aarch64      cpu6     0     0         0       node-4 96.9   0      unknown 0    Ubuntu unknown   0       0     1.4    1.567
2023-12-06T13:04:04.403774664Z aarch64      cpu7     0     0         0       node-4 96.866 0      unknown 0    Ubuntu unknown   0.267   0     1.433  1.8
2023-12-06T13:04:34.391809967Z aarch64      cpu0     0     0         0       node-4 76.533 1.033  unknown 0    Ubuntu unknown   2.067   0     5.9    14.133
2023-12-06T13:04:34.391809967Z aarch64      cpu1     0     0         0       node-4 83.533 0.567  unknown 0    Ubuntu unknown   0.2     0     2.233  13.1
2023-12-06T13:04:34.391809967Z aarch64      cpu2     0     0         0       node-4 82.166 0.733  unknown 0    Ubuntu unknown   0.6     0     2.1    13.433
2023-12-06T13:04:34.391809967Z aarch64      cpu3     0     0         0       node-4 85.033 0.367  unknown 0    Ubuntu unknown   0       0     1.7    12.533
2023-12-06T13:04:34.391809967Z aarch64      cpu4     0     0         0       node-4 83.7   0.367  unknown 0    Ubuntu unknown   0.567   0     2      12.467
2023-12-06T13:04:34.391809967Z aarch64      cpu5     0     0         0       node-4 84.6   0.233  unknown 0    Ubuntu unknown   0.033   0     1.933  13.167
2023-12-06T13:04:34.391809967Z aarch64      cpu6     0     0         0       node-4 84.866 0.133  unknown 0    Ubuntu unknown   0.033   0     2.133  12.8
