time                           architecture cpu_name guest guestnice hardirq host   idle   iowait mtm     nice os     serial_no softirq steal sys    user
2023-12-05T15:57:17.483356441Z aarch64      cpu0     0     0         0       node-2 91.9   1.233  unknown 0    Ubuntu unknown   0.233   0     1.867  3.733
2023-12-05T15:57:17.483356441Z aarch64      cpu1     0     0         0       node-2 92.533 1.267  unknown 0    Ubuntu unknown   0.1     0     1.967  3.267
2023-12-05T15:57:17.483356441Z aarch64      cpu2     0     0         0       node-2 91.566 2.433  unknown 0    Ubuntu unknown   0.167   0     1.867  3.167
2023-12-05T15:57:17.483356441Z aarch64      cpu3     0     0         0       node-2 91.733 1.8    unknown 0    Ubuntu unknown   0.133   0     2      3.733
2023-12-05T15:57:17.483356441Z aarch64      cpu4     0     0         0       node-2 90     0.933  unknown 0    Ubuntu unknown   0.2     0     1.933  6
2023-12-05T15:57:17.483356441Z aarch64      cpu5     0     0         0       node-2 92.8   0.967  unknown 0    Ubuntu unknown   0.033   0     2      3.6
2023-12-05T15:57:17.483356441Z aarch64      cpu6     0     0         0       node-2 93.2   0.6    unknown 0    Ubuntu unknown   0.033   0     2.167  3.133
2023-12-05T15:57:17.483356441Z aarch64      cpu7     0     0         0       node-2 92.133 1.6    unknown 0    Ubuntu unknown   0.1     0     2.033  3.333
2023-12-05T15:57:47.500958586Z aarch64      cpu0     0     0         0       node-2 50.966 0.533  unknown 0    Ubuntu unknown   8.6     0     9.867  28.333
2023-12-05T15:57:47.500958586Z aarch64      cpu1     0     0         0       node-2 65.5   0.433  unknown 0    Ubuntu unknown   0.4     0     2.133  29
2023-12-05T15:57:47.500958586Z aarch64      cpu2     0     0         0       node-2 66     0.8    unknown 0    Ubuntu unknown   0.167   0     2.067  29.133
2023-12-05T15:57:47.500958586Z aarch64      cpu3     0     0         0       node-2 65.9   0.5    unknown 0    Ubuntu unknown   0.1     0     2.333  29.233
2023-12-05T15:57:47.500958586Z aarch64      cpu4     0     0         0       node-2 64.066 0.567  unknown 0    Ubuntu unknown   1.633   0     2.067  27.833
2023-12-05T15:57:47.500958586Z aarch64      cpu5     0     0         0       node-2 66.5   0.533  unknown 0    Ubuntu unknown   0.033   0     2      28.967
2023-12-05T15:57:47.500958586Z aarch64      cpu6     0     0         0       node-2 66.966 0.3    unknown 0    Ubuntu unknown   0.033   0     2.1    28.533
2023-12-05T15:57:47.500958586Z aarch64      cpu7     0     0         0       node-2 63.166 0.333  unknown 0    Ubuntu unknown   0.033   0     3.067  31.633
2023-12-05T15:58:17.515607053Z aarch64      cpu0     0     0         0       node-2 6.233  0.033  unknown 0    Ubuntu unknown   17.067  0     21.9   54.133
2023-12-05T15:58:17.515607053Z aarch64      cpu1     0     0         0       node-2 40.133 0.1    unknown 0    Ubuntu unknown   0.767   0     2.767  52.7
2023-12-05T15:58:17.515607053Z aarch64      cpu2     0     0         0       node-2 42.3   0.167  unknown 0    Ubuntu unknown   0.167   0     2.267  53.233
2023-12-05T15:58:17.515607053Z aarch64      cpu3     0     0         0       node-2 42.1   0.267  unknown 0    Ubuntu unknown   0.067   0     2.7    52.7
2023-12-05T15:58:17.515607053Z aarch64      cpu4     0     0         0       node-2 36.6   0.3    unknown 0    Ubuntu unknown   2.833   0     2.5    52.533
2023-12-05T15:58:17.515607053Z aarch64      cpu5     0     0         0       node-2 42.3   0.267  unknown 0    Ubuntu unknown   0       0     2.333  53.166
2023-12-05T15:58:17.515607053Z aarch64      cpu6     0     0         0       node-2 41.866 0.267  unknown 0    Ubuntu unknown   0.067   0     2.6    53.233
2023-12-05T15:58:17.515607053Z aarch64      cpu7     0     0         0       node-2 41.833 0.167  unknown 0    Ubuntu unknown   0.067   0     2.433  52.9
2023-12-05T15:58:47.499255024Z aarch64      cpu0     0     0         0       node-2 13.1   0.167  unknown 0    Ubuntu unknown   16.633  0     18.367 47.866
2023-12-05T15:58:47.499255024Z aarch64      cpu1     0     0         0       node-2 28.433 0.3    unknown 0    Ubuntu unknown   1.367   0     3.767  62.366
2023-12-05T15:58:47.499255024Z aarch64      cpu2     0     0         0       node-2 23.367 0.167  unknown 0    Ubuntu unknown   0.233   0     4.133  69.1
2023-12-05T15:58:47.499255024Z aarch64      cpu3     0     0         0       node-2 18.833 0.433  unknown 0    Ubuntu unknown   0.267   0     4.3    74.233
2023-12-05T15:58:47.499255024Z aarch64      cpu4     0     0         0       node-2 29.433 0.2    unknown 0    Ubuntu unknown   4.5     0     4.867  54.033
2023-12-05T15:58:47.499255024Z aarch64      cpu5     0     0         0       node-2 21.4   0.133  unknown 0    Ubuntu unknown   0.033   0     4.067  72.166
2023-12-05T15:58:47.499255024Z aarch64      cpu6     0     0         0       node-2 13.1   0.1    unknown 0    Ubuntu unknown   0       0     3.3    82.299
2023-12-05T15:58:47.499255024Z aarch64      cpu7     0     0         0       node-2 23.2   0.2    unknown 0    Ubuntu unknown   0.033   0     4.267  69.533
2023-12-05T15:59:17.547778717Z aarch64      cpu0     0     0         0       node-2 7.3    0.167  unknown 0    Ubuntu unknown   17.333  0     23     51.866
2023-12-05T15:59:17.547778717Z aarch64      cpu1     0     0         0       node-2 41.933 0.267  unknown 0    Ubuntu unknown   1       0     2.267  51.733
2023-12-05T15:59:17.547778717Z aarch64      cpu2     0     0         0       node-2 42.7   0.333  unknown 0    Ubuntu unknown   0.233   0     2.933  52.766
2023-12-05T15:59:17.547778717Z aarch64      cpu3     0     0         0       node-2 43.433 0.367  unknown 0    Ubuntu unknown   0.1     0     3.133  51.5
2023-12-05T15:59:17.547778717Z aarch64      cpu4     0     0         0       node-2 39     0.3    unknown 0    Ubuntu unknown   2.833   0     2.667  50.6
2023-12-05T15:59:17.547778717Z aarch64      cpu5     0     0         0       node-2 43.666 0.4    unknown 0    Ubuntu unknown   0       0     2.8    51.7
2023-12-05T15:59:17.547778717Z aarch64      cpu6     0     0         0       node-2 43.5   0.2    unknown 0    Ubuntu unknown   0       0     2.7    52.066
2023-12-05T15:59:17.547778717Z aarch64      cpu7     0     0         0       node-2 44.3   0.3    unknown 0    Ubuntu unknown   0.133   0     2.533  51.466
2023-12-05T15:59:47.507912847Z aarch64      cpu0     0     0         0       node-2 12.666 0.267  unknown 0    Ubuntu unknown   15.833  0     21.533 46.799
2023-12-05T15:59:47.507912847Z aarch64      cpu1     0     0         0       node-2 38.266 0.633  unknown 0    Ubuntu unknown   1.167   0     4.633  51.299
2023-12-05T15:59:47.507912847Z aarch64      cpu2     0     0         0       node-2 29.666 0.167  unknown 0    Ubuntu unknown   0.333   0     3.9    63.999
2023-12-05T15:59:47.507912847Z aarch64      cpu3     0     0         0       node-2 30.833 0.533  unknown 0    Ubuntu unknown   0.133   0     3.767  62.599
2023-12-05T15:59:47.507912847Z aarch64      cpu4     0     0         0       node-2 35.299 0.267  unknown 0    Ubuntu unknown   4.267   0     4.2    49.599
2023-12-05T15:59:47.507912847Z aarch64      cpu5     0     0         0       node-2 29.199 0.2    unknown 0    Ubuntu unknown   0.033   0     3.667  64.665
