time                           architecture backlog bsize busy   disk_name flush_busy flushes host   inflight mtm     os     reads rkb   rmerge rmsec serial_no wkb     wmerge wmsec   writes xfers
2023-12-05T15:57:17.483356441Z aarch64      165.599 19456 14.387 sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   428.665 41.033 165.599 53.033 53.033
2023-12-05T15:57:47.500958586Z aarch64      100.5   18432 8.947  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   479.731 15.567 100.5   30.267 30.267
2023-12-05T15:58:17.515607053Z aarch64      56.9    18432 6.32   sda       0          0       node-2 1        unknown Ubuntu 0     0     0      0     unknown   138.399 10.333 56.9    19.3   19.3
2023-12-05T15:58:47.499255024Z aarch64      80.699  18432 7.987  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   167.866 10.367 80.699  24.933 24.933
2023-12-05T15:59:17.547778717Z aarch64      80.6    18432 7.467  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   173.066 11.767 80.6    25.3   25.3
2023-12-05T15:59:47.507912847Z aarch64      100.765 18432 8.76   sda       0          0       node-2 0        unknown Ubuntu 0.167 0.067 0      0.633 unknown   211.996 15.933 100.131 30.199 30.366
2023-12-05T16:00:17.517058467Z aarch64      95.365  18432 8.44   sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   185.596 11.4   95.398  28.766 28.766
2023-12-05T16:00:47.49940843Z  aarch64      87.401  18432 8.067  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   174.935 11.833 87.368  26.267 26.267
2023-12-05T16:01:17.515695296Z aarch64      84.05   18432 7.679  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   174.633 11.131 84.05   26.562 26.562
2023-12-05T16:01:47.53471528Z  aarch64      89.483  18432 8.175  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   185.5   12.436 89.516  26.971 26.971
2023-12-05T16:02:17.483875844Z aarch64      82.433  18432 7.747  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   173.599 11.3   82.433  26.067 26.067
2023-12-05T16:02:47.532805592Z aarch64      83.599  18432 7.733  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   174.265 11.733 83.599  25.8   25.8
2023-12-05T16:03:17.488040041Z aarch64      82.8    18432 7.853  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   171.333 11.233 82.8    25.9   25.9
2023-12-05T16:03:47.533419494Z aarch64      79.122  18432 7.426  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   170.11  11.798 79.089  24.497 24.497
2023-12-05T16:04:17.520003426Z aarch64      57.107  18432 6.321  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   140.551 11.101 57.141  19.102 19.102
2023-12-05T16:04:47.500352125Z aarch64      85      18432 7.92   sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   181.199 12.3   85      26.767 26.767
2023-12-05T16:05:17.516198106Z aarch64      89.9    18432 8.147  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   180.132 11.6   89.9    27.833 27.833
2023-12-05T16:05:47.50051712Z  aarch64      76.333  18432 7.44   sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   165.866 11.367 76.3    24.567 24.567
2023-12-05T16:06:17.499760324Z aarch64      76.133  18432 7.4    sda       0          0       node-2 1        unknown Ubuntu 0     0     0      0     unknown   169.999 12.1   76.166  24.333 24.333
2023-12-05T16:06:47.500561924Z aarch64      69.1    18432 6.84   sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   148.666 10.1   69.1    22.133 22.133
2023-12-05T16:07:17.484676266Z aarch64      75.633  18432 7.147  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   163.066 11.267 75.6    23.933 23.933
2023-12-05T16:07:47.501126247Z aarch64      74.166  18432 6.987  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   158.399 10.967 74.199  23.5   23.5
2023-12-05T16:08:17.484442373Z aarch64      86      18432 8.293  sda       0          0       node-2 0        unknown Ubuntu 0     0     0      0     unknown   200.4   14.5   86      28.433 28.433
