time                           architecture backlog bsize busy  disk_name flush_busy flushes host   inflight mtm     os     reads rkb   rmerge rmsec serial_no wkb     wmerge wmsec   writes xfers
2023-12-06T13:31:34.388860556Z aarch64      122.266 72704 8     sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   349.865 44.333 122.266 34.766 34.766
2023-12-06T13:32:04.404841663Z aarch64      45.9    72704 2.867 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   375.464 12.567 45.9    11.767 11.767
2023-12-06T13:32:34.392910009Z aarch64      17.267  72704 1.133 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   28.8    2.2    17.3    4.633  4.633
2023-12-06T13:33:04.404771321Z aarch64      19.1    72704 1.253 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   33.067  2.633  19.1    5.133  5.133
2023-12-06T13:33:34.388933469Z aarch64      13.9    72704 0.907 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   24.4    1.867  13.867  3.8    3.8
2023-12-06T13:34:04.40462369Z  aarch64      9.767   72704 0.693 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   19.6    1.967  9.767   2.767  2.767
2023-12-06T13:34:34.420713079Z aarch64      18.133  72704 1.227 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   32.933  2.9    18.167  4.9    4.9
2023-12-06T13:35:04.404686296Z aarch64      11.233  72704 0.867 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   25.733  3.067  11.233  3.2    3.2
2023-12-06T13:35:34.420666806Z aarch64      14.967  72704 0.987 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   27.333  2.5    14.933  4.067  4.067
2023-12-06T13:36:04.404717241Z aarch64      10.567  72704 0.76  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   22.667  2.3    10.567  3.1    3.1
2023-12-06T13:36:34.393028446Z aarch64      21.833  72704 1.347 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   33.2    1.967  21.867  5.733  5.733
2023-12-06T13:37:04.404663841Z aarch64      3.433   72704 0.453 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   14.933  2.433  3.4     1.3    1.3
2023-12-06T13:37:34.420797929Z aarch64      15.167  72704 1.027 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   26      2.067  15.167  4.167  4.167
2023-12-06T13:38:04.404813493Z aarch64      11.3    72704 0.84  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   24      2.367  11.3    3.233  3.233
2023-12-06T13:38:34.420725333Z aarch64      15.133  71680 1.053 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   29.2    2.667  15.133  4.2    4.2
2023-12-06T13:39:04.404594518Z aarch64      9.867   71680 0.733 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   20.133  2.067  9.9     2.8    2.8
2023-12-06T13:39:34.424829129Z aarch64      13.4    71680 0.987 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   26.8    2.733  13.367  3.767  3.767
2023-12-06T13:40:04.40454266Z  aarch64      20.6    71680 1.373 sda       0          0       node-4 0        unknown Ubuntu 0.167 0.033 0      0.567 unknown   34.933  2.6    20.067  5.333  5.5
2023-12-06T13:40:34.42079637Z  aarch64      15.133  71680 1.053 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   27.467  2.233  15.133  4.267  4.267
2023-12-06T13:41:04.404915521Z aarch64      14.133  71680 0.96  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   24.933  1.9    14.1    3.867  3.867
2023-12-06T13:41:34.420505837Z aarch64      13.333  71680 0.973 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   26.4    2.567  13.367  3.7    3.7
2023-12-06T13:42:04.40462921Z  aarch64      18.167  71680 1.173 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   33.6    3      18.133  4.9    4.9
2023-12-06T13:42:34.420707003Z aarch64      10.567  71680 0.813 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   23.467  2.6    10.6    3.1    3.1
2023-12-06T13:43:04.404711598Z aarch64      15.133  71680 1.307 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   59.2    9.267  15.1    5      5
2023-12-06T13:43:34.388614706Z aarch64      44.2    71680 2.733 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   81.866  6.5    44.2    12.067 12.067
