time                           architecture host   mtm     os     refill_cpu0 refill_cpu1 refill_cpu2 refill_cpu3 refill_cpu4 refill_cpu5 refill_cpu6 refill_cpu7 serial_no
2023-12-06T13:04:04.403774664Z aarch64      node-4 unknown Ubuntu 0           0           4           0           0           0           0           0           unknown
2023-12-06T13:04:34.391809967Z aarch64      node-4 unknown Ubuntu 0           0           3           0           0           0           0           0           unknown
2023-12-06T13:05:04.500950475Z aarch64      node-4 unknown Ubuntu 1           0           1           0           0           152         0           6           unknown
2023-12-06T13:05:34.580576019Z aarch64      node-4 unknown Ubuntu 1434        1536        10          1308        1233        1154        1030        934         unknown
2023-12-06T13:06:04.404267971Z aarch64      node-4 unknown Ubuntu 192         7974        7755        7448        6742        5969        4944        17          unknown
2023-12-06T13:06:34.548675518Z aarch64      node-4 unknown Ubuntu 3           234         181         107         189         127         73          64          unknown
2023-12-06T13:07:04.404338058Z aarch64      node-4 unknown Ubuntu 201         7572        6585        9           5796        142         4972        832         unknown
2023-12-06T13:07:34.54881139Z  aarch64      node-4 unknown Ubuntu 8           0           6           0           0           5           0           0           unknown
2023-12-06T13:08:04.564294688Z aarch64      node-4 unknown Ubuntu 513         8400        191         10          6950        5719        5535        4244        unknown
2023-12-06T13:08:34.388228597Z aarch64      node-4 unknown Ubuntu 8574        9269        8416        7691        6712        6340        12          4908        unknown
2023-12-06T13:09:04.568371857Z aarch64      node-4 unknown Ubuntu 962         1032        966         8           851         906         601         635         unknown
2023-12-06T13:09:34.552121119Z aarch64      node-4 unknown Ubuntu 619         143         5760        5508        7           4356        1           4           unknown
2023-12-06T13:10:04.404509759Z aarch64      node-4 unknown Ubuntu 0           7878        7217        21          6894        6411        5683        5395        unknown
2023-12-06T13:10:34.586104083Z aarch64      node-4 unknown Ubuntu 0           0           0           0           0           0           0           4           unknown
2023-12-06T13:11:04.532571323Z aarch64      node-4 unknown Ubuntu 211         198         8           181         4819        480         4138        3920        unknown
2023-12-06T13:11:34.388478105Z aarch64      node-4 unknown Ubuntu 2           268         5286        319         388         4295        103         79          unknown
2023-12-06T13:12:04.565176293Z aarch64      node-4 unknown Ubuntu 2           398         874         585         1269        1462        1456        1440        unknown
2023-12-06T13:12:34.621771377Z aarch64      node-4 unknown Ubuntu 3899        20027       19          7411        7217        6767        5842        5162        unknown
2023-12-06T13:13:04.404515551Z aarch64      node-4 unknown Ubuntu 68          7           5411        5           4549        3           789         3495        unknown
2023-12-06T13:13:34.549517853Z aarch64      node-4 unknown Ubuntu 148         8           0           0           25          369         0           0           unknown
2023-12-06T13:14:04.408693668Z aarch64      node-4 unknown Ubuntu 11          8894        8299        7925        7256        6509        5797        5015        unknown
2023-12-06T13:14:34.484957944Z aarch64      node-4 unknown Ubuntu 0           5           2983        0           0           0           0           0           unknown
2023-12-06T13:15:04.404482404Z aarch64      node-4 unknown Ubuntu 360         8           7200        6410        6015        5471        4628        0           unknown
2023-12-06T13:15:34.548865432Z aarch64      node-4 unknown Ubuntu 138         234         142         150         5           127         161         190         unknown
2023-12-06T13:16:04.500926219Z aarch64      node-4 unknown Ubuntu 4939        8068        592         6281        5           3           4759        4368        unknown
2023-12-06T13:16:34.388621156Z aarch64      node-4 unknown Ubuntu 5706        592         7           210         217         151         3854        0           unknown
2023-12-06T13:17:04.404586294Z aarch64      node-4 unknown Ubuntu 0           0           9           0           0           0           0           0           unknown
