time                           architecture cpu_name guest guestnice hardirq host   idle   iowait mtm     nice os     serial_no softirq steal sys    user
2023-12-06T15:17:34.419540299Z aarch64      cpu0     0     0         0       node-4 96.833 0.1    unknown 0    Ubuntu unknown   0       0     1.3    1.667
2023-12-06T15:17:34.419540299Z aarch64      cpu1     0     0         0       node-4 96.466 0.2    unknown 0    Ubuntu unknown   0       0     1.1    1.9
2023-12-06T15:17:34.419540299Z aarch64      cpu2     0     0         0       node-4 96.333 0.6    unknown 0    Ubuntu unknown   0.067   0     1.1    1.5
2023-12-06T15:17:34.419540299Z aarch64      cpu3     0     0         0       node-4 96.3   0      unknown 0    Ubuntu unknown   0.067   0     1.067  1.933
2023-12-06T15:17:34.419540299Z aarch64      cpu4     0     0         0       node-4 96.8   0      unknown 0    Ubuntu unknown   0.033   0     1.333  1.8
2023-12-06T15:17:34.419540299Z aarch64      cpu5     0     0         0       node-4 96.9   0      unknown 0    Ubuntu unknown   0       0     1.367  1.467
2023-12-06T15:17:34.419540299Z aarch64      cpu6     0     0         0       node-4 96.566 0.067  unknown 0    Ubuntu unknown   0       0     1.433  1.867
2023-12-06T15:17:34.419540299Z aarch64      cpu7     0     0         0       node-4 96.366 0      unknown 0    Ubuntu unknown   0.067   0     1.3    1.967
2023-12-06T15:18:04.435693567Z aarch64      cpu0     0     0         0       node-4 65.466 0.933  unknown 0    Ubuntu unknown   0.067   0     7.033  23.7
2023-12-06T15:18:04.435693567Z aarch64      cpu1     0     0         0       node-4 63.266 0.5    unknown 0    Ubuntu unknown   1.667   0     7.267  24.533
2023-12-06T15:18:04.435693567Z aarch64      cpu2     0     0         0       node-4 65.9   0.367  unknown 0    Ubuntu unknown   0.067   0     7.767  24.1
2023-12-06T15:18:04.435693567Z aarch64      cpu3     0     0         0       node-4 64.233 0.367  unknown 0    Ubuntu unknown   1.2     0     7.5    23.8
2023-12-06T15:18:04.435693567Z aarch64      cpu4     0     0         0       node-4 63.966 0      unknown 0    Ubuntu unknown   0.033   0     7.767  26
2023-12-06T15:18:04.435693567Z aarch64      cpu5     0     0         0       node-4 65.233 0.333  unknown 0    Ubuntu unknown   0.333   0     8      24.167
2023-12-06T15:18:04.435693567Z aarch64      cpu6     0     0         0       node-4 62.6   0.433  unknown 0    Ubuntu unknown   0.333   0     8.167  26
2023-12-06T15:18:04.435693567Z aarch64      cpu7     0     0         0       node-4 65.366 0.1    unknown 0    Ubuntu unknown   0.2     0     7.2    25.3
2023-12-06T15:18:34.419221506Z aarch64      cpu0     0     0         0       node-4 80.233 3.167  unknown 0    Ubuntu unknown   0.1     0     5.033  8.967
2023-12-06T15:18:34.419221506Z aarch64      cpu1     0     0         0       node-4 76.666 6.967  unknown 0    Ubuntu unknown   0       0     5.233  9.8
2023-12-06T15:18:34.419221506Z aarch64      cpu2     0     0         0       node-4 79.4   3.533  unknown 0    Ubuntu unknown   0       0     5.3    10.4
2023-12-06T15:18:34.419221506Z aarch64      cpu3     0     0         0       node-4 72.8   10.633 unknown 0    Ubuntu unknown   0.033   0     5.567  9.833
2023-12-06T15:18:34.419221506Z aarch64      cpu4     0     0         0       node-4 82.833 1.333  unknown 0    Ubuntu unknown   0       0     5.167  9.1
2023-12-06T15:18:34.419221506Z aarch64      cpu5     0     0         0       node-4 71.866 11.167 unknown 0    Ubuntu unknown   0.033   0     6.3    9.767
2023-12-06T15:18:34.419221506Z aarch64      cpu6     0     0         0       node-4 83.333 0.667  unknown 0    Ubuntu unknown   0.033   0     5.133  9.367
2023-12-06T15:18:34.419221506Z aarch64      cpu7     0     0         0       node-4 75.133 7.1    unknown 0    Ubuntu unknown   0.067   0     6.367  10.067
2023-12-06T15:19:04.43552313Z  aarch64      cpu0     0     0         0       node-4 74.966 0.9    unknown 0    Ubuntu unknown   0.033   0     1.5    22
2023-12-06T15:19:04.43552313Z  aarch64      cpu1     0     0         0       node-4 53.266 0.033  unknown 0    Ubuntu unknown   0.067   0     4.067  42.266
2023-12-06T15:19:04.43552313Z  aarch64      cpu2     0     0         0       node-4 76.233 0.067  unknown 0    Ubuntu unknown   0       0     1.6    21.8
2023-12-06T15:19:04.43552313Z  aarch64      cpu3     0     0         0       node-4 76.033 0      unknown 0    Ubuntu unknown   0       0     1.1    22.333
2023-12-06T15:19:04.43552313Z  aarch64      cpu4     0     0         0       node-4 75.833 0      unknown 0    Ubuntu unknown   0       0     1.433  22.367
2023-12-06T15:19:04.43552313Z  aarch64      cpu5     0     0         0       node-4 75.6   0.033  unknown 0    Ubuntu unknown   0       0     2.7    21.367
2023-12-06T15:19:04.43552313Z  aarch64      cpu6     0     0         0       node-4 76.1   0.033  unknown 0    Ubuntu unknown   0.033   0     1.467  22.133
2023-12-06T15:19:04.43552313Z  aarch64      cpu7     0     0         0       node-4 75.633 0      unknown 0    Ubuntu unknown   0.033   0     1.9    21.8
2023-12-06T15:19:34.423360037Z aarch64      cpu0     0     0         0       node-4 3.633  0      unknown 0    Ubuntu unknown   0.033   0     1.933  93.766
2023-12-06T15:19:34.423360037Z aarch64      cpu1     0     0         0       node-4 3      0      unknown 0    Ubuntu unknown   0.033   0     1.9    94.533
2023-12-06T15:19:34.423360037Z aarch64      cpu2     0     0         0       node-4 4.5    0      unknown 0    Ubuntu unknown   0.033   0     3.267  91.7
2023-12-06T15:19:34.423360037Z aarch64      cpu3     0     0         0       node-4 3.233  0      unknown 0    Ubuntu unknown   0.067   0     3.767  92.366
2023-12-06T15:19:34.423360037Z aarch64      cpu4     0     0         0       node-4 3.967  0      unknown 0    Ubuntu unknown   0.033   0     3.167  92.166
2023-12-06T15:19:34.423360037Z aarch64      cpu5     0     0         0       node-4 3.2    0      unknown 0    Ubuntu unknown   0       0     2.3    93.9
2023-12-06T15:19:34.423360037Z aarch64      cpu6     0     0         0       node-4 3.6    0.033  unknown 0    Ubuntu unknown   0.033   0     3.233  92.566
2023-12-06T15:19:34.423360037Z aarch64      cpu7     0     0         0       node-4 3.467  0      unknown 0    Ubuntu unknown   0.1     0     1.7    94.2
2023-12-06T15:20:04.435433816Z aarch64      cpu0     0     0         0       node-4 3.633  0.033  unknown 0    Ubuntu unknown   0       0     2.867  92.866
2023-12-06T15:20:04.435433816Z aarch64      cpu1     0     0         0       node-4 3.5    0      unknown 0    Ubuntu unknown   0       0     4.167  91.833
2023-12-06T15:20:04.435433816Z aarch64      cpu2     0     0         0       node-4 4.2    0.033  unknown 0    Ubuntu unknown   0.033   0     3.067  92.133
2023-12-06T15:20:04.435433816Z aarch64      cpu3     0     0         0       node-4 3.133  0      unknown 0    Ubuntu unknown   0       0     2.367  93.966
2023-12-06T15:20:04.435433816Z aarch64      cpu4     0     0         0       node-4 3.133  0      unknown 0    Ubuntu unknown   0.033   0     2.633  93.866
2023-12-06T15:20:04.435433816Z aarch64      cpu5     0     0         0       node-4 3.067  0      unknown 0    Ubuntu unknown   0       0     2.667  93.666
2023-12-06T15:20:04.435433816Z aarch64      cpu6     0     0         0       node-4 3.867  0      unknown 0    Ubuntu unknown   0       0     2.2    93.4
2023-12-06T15:20:04.435433816Z aarch64      cpu7     0     0         0       node-4 3.8    0      unknown 0    Ubuntu unknown   0.1     0     1.8    93.733
2023-12-06T15:20:34.423882758Z aarch64      cpu0     0     0         0       node-4 3.767  0      unknown 0    Ubuntu unknown   0       0     2.067  93.533
2023-12-06T15:20:34.423882758Z aarch64      cpu1     0     0         0       node-4 3.333  0      unknown 0    Ubuntu unknown   0.033   0     2.6    93.366
2023-12-06T15:20:34.423882758Z aarch64      cpu2     0     0         0       node-4 3.6    0      unknown 0    Ubuntu unknown   0       0     2.767  92.966
2023-12-06T15:20:34.423882758Z aarch64      cpu3     0     0         0       node-4 3.633  0      unknown 0    Ubuntu unknown   0.033   0     2.833  92.8
2023-12-06T15:20:34.423882758Z aarch64      cpu4     0     0         0       node-4 3.5    0      unknown 0    Ubuntu unknown   0       0     2.7    93.066
2023-12-06T15:20:34.423882758Z aarch64      cpu5     0     0         0       node-4 3.667  0      unknown 0    Ubuntu unknown   0       0     1.867  93.633
2023-12-06T15:20:34.423882758Z aarch64      cpu6     0     0         0       node-4 3      0      unknown 0    Ubuntu unknown   0.033   0     3.267  93.066
2023-12-06T15:20:34.423882758Z aarch64      cpu7     0     0         0       node-4 3.367  0      unknown 0    Ubuntu unknown   0.067   0     2.233  93.633
2023-12-06T15:21:04.435506902Z aarch64      cpu0     0     0         0       node-4 2.667  0      unknown 0    Ubuntu unknown   0.067   0     2.667  93.8
2023-12-06T15:21:04.435506902Z aarch64      cpu1     0     0         0       node-4 3.133  0      unknown 0    Ubuntu unknown   0       0     3.267  93.066
2023-12-06T15:21:04.435506902Z aarch64      cpu2     0     0         0       node-4 4.367  0      unknown 0    Ubuntu unknown   0       0     2.5    92.666
2023-12-06T15:21:04.435506902Z aarch64      cpu3     0     0         0       node-4 2.933  0      unknown 0    Ubuntu unknown   0.033   0     2.8    93.5
2023-12-06T15:21:04.435506902Z aarch64      cpu4     0     0         0       node-4 2.933  0      unknown 0    Ubuntu unknown   0       0     1.867  94.466
2023-12-06T15:21:04.435506902Z aarch64      cpu5     0     0         0       node-4 3.3    0      unknown 0    Ubuntu unknown   0       0     1.767  94.3
2023-12-06T15:21:04.435506902Z aarch64      cpu6     0     0         0       node-4 3      0      unknown 0    Ubuntu unknown   0.033   0     2.8    93.566
2023-12-06T15:21:04.435506902Z aarch64      cpu7     0     0         0       node-4 3.867  0.033  unknown 0    Ubuntu unknown   0.067   0     2.267  93.166
2023-12-06T15:21:34.423720749Z aarch64      cpu0     0     0         0       node-4 3.467  0.1    unknown 0    Ubuntu unknown   0       0     2.133  93.9
2023-12-06T15:21:34.423720749Z aarch64      cpu1     0     0         0       node-4 3.633  0      unknown 0    Ubuntu unknown   0       0     2.033  93.6
2023-12-06T15:21:34.423720749Z aarch64      cpu2     0     0         0       node-4 3.667  0      unknown 0    Ubuntu unknown   0       0     4.2    91.666
2023-12-06T15:21:34.423720749Z aarch64      cpu3     0     0         0       node-4 3.067  0.033  unknown 0    Ubuntu unknown   0.033   0     2.267  94.166
2023-12-06T15:21:34.423720749Z aarch64      cpu4     0     0         0       node-4 4.5    0      unknown 0    Ubuntu unknown   0       0     3.233  91.733
2023-12-06T15:21:34.423720749Z aarch64      cpu5     0     0         0       node-4 3.3    0      unknown 0    Ubuntu unknown   0.033   0     2.6    93.666
2023-12-06T15:21:34.423720749Z aarch64      cpu6     0     0         0       node-4 3.967  0.033  unknown 0    Ubuntu unknown   0       0     2.567  92.933
2023-12-06T15:21:34.423720749Z aarch64      cpu7     0     0         0       node-4 3.367  0      unknown 0    Ubuntu unknown   0.067   0     2.433  93.6
2023-12-06T15:22:04.439441073Z aarch64      cpu0     0     0         0       node-4 3.667  0.033  unknown 0    Ubuntu unknown   0.033   0     2.567  93.466
2023-12-06T15:22:04.439441073Z aarch64      cpu1     0     0         0       node-4 3.167  0      unknown 0    Ubuntu unknown   0.033   0     2.333  94.266
2023-12-06T15:22:04.439441073Z aarch64      cpu2     0     0         0       node-4 3.033  0      unknown 0    Ubuntu unknown   0.033   0     1.867  94.866
2023-12-06T15:22:04.439441073Z aarch64      cpu3     0     0         0       node-4 4.267  0      unknown 0    Ubuntu unknown   0       0     2.467  93.1
2023-12-06T15:22:04.439441073Z aarch64      cpu4     0     0         0       node-4 3.8    0      unknown 0    Ubuntu unknown   0       0     2.5    93.3
2023-12-06T15:22:04.439441073Z aarch64      cpu5     0     0         0       node-4 3.367  0      unknown 0    Ubuntu unknown   0       0     3.333  92.966
2023-12-06T15:22:04.439441073Z aarch64      cpu6     0     0         0       node-4 4.367  0      unknown 0    Ubuntu unknown   0.033   0     2.433  92.9
2023-12-06T15:22:04.439441073Z aarch64      cpu7     0     0         0       node-4 2.767  0      unknown 0    Ubuntu unknown   0.033   0     2.433  94.633
2023-12-06T15:22:34.419512234Z aarch64      cpu0     0     0         0       node-4 3.067  0      unknown 0    Ubuntu unknown   0.033   0     1.867  94.5
2023-12-06T15:22:34.419512234Z aarch64      cpu1     0     0         0       node-4 3.433  0      unknown 0    Ubuntu unknown   0.033   0     3      92.833
2023-12-06T15:22:34.419512234Z aarch64      cpu2     0     0         0       node-4 3.833  0      unknown 0    Ubuntu unknown   0.033   0     2.333  93.533
2023-12-06T15:22:34.419512234Z aarch64      cpu3     0     0         0       node-4 3.567  0      unknown 0    Ubuntu unknown   0.033   0     2.433  93.333
2023-12-06T15:22:34.419512234Z aarch64      cpu4     0     0         0       node-4 3.6    0      unknown 0    Ubuntu unknown   0       0     2.1    93.733
2023-12-06T15:22:34.419512234Z aarch64      cpu5     0     0         0       node-4 3.4    0      unknown 0    Ubuntu unknown   0.033   0     3.033  93.166
2023-12-06T15:22:34.419512234Z aarch64      cpu6     0     0         0       node-4 3.8    0      unknown 0    Ubuntu unknown   0       0     3.3    92.333
