time                           architecture backlog bsize busy  disk_name flush_busy flushes host   inflight mtm     os     reads rkb   rmerge rmsec serial_no wkb     wmerge wmsec   writes xfers
----                           ------------ ------- ----- ----  --------- ---------- ------- ----   -------- ---     --     ----- ---   ------ ----- --------- ---     ------ -----   ------ -----
2023-12-06T21:32:34.550740989Z aarch64      121.233 50176 7.267 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   337.599 44.433 121.233 32.833 32.833
2023-12-06T21:33:04.530920027Z aarch64      50.6    50176 3.04  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   376.665 11.967 50.6    12.867 12.867
2023-12-06T21:33:34.611870858Z aarch64      8.963   50176 0.76  sda       0          0       node-4 1        unknown Ubuntu 0     0     0      0     unknown   19.726  2.366  8.963   2.499  2.499
2023-12-06T21:34:04.535095599Z aarch64      18.174  50176 1.174 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   33.079  2.901  18.14   4.535  4.535
2023-12-06T21:34:34.580262211Z aarch64      23.766  50176 1.533 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   44.266  3.4    23.8    6.4    6.4
2023-12-06T21:35:04.563829548Z aarch64      22.364  50176 1.427 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   39.863  3.033  22.364  5.699  5.699
2023-12-06T21:35:34.547036805Z aarch64      21.769  50176 1.413 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   34.536  2.534  21.769  5.434  5.434
2023-12-06T21:36:04.660361417Z aarch64      26.023  50176 1.613 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   42.65   2.666  26.023  6.731  6.731
2023-12-06T21:36:34.550917955Z aarch64      38.714  50176 2.281 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   58.555  2.968  38.681  9.537  9.537
2023-12-06T21:37:04.627860473Z aarch64      13.365  50176 0.947 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   27.997  2.966  13.365  3.833  3.833
2023-12-06T21:37:34.611055695Z aarch64      22.568  50176 1.467 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   36.803  2.667  22.602  5.4    5.4
2023-12-06T21:38:04.563776719Z aarch64      22.599  50176 1.453 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   43.864  3.5    22.599  6.066  6.066
2023-12-06T21:38:34.611836075Z aarch64      29.034  50176 1.747 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   44.135  2.5    29.034  6.967  6.967
2023-12-06T21:39:04.563097799Z aarch64      19.7    50176 1.213 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   34      2.167  19.7    5.2    5.2
2023-12-06T21:39:34.582761852Z aarch64      23      50176 1.387 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   37.333  2.367  22.966  5.767  5.767
2023-12-06T21:40:04.563480596Z aarch64      4.533   50176 0.613 sda       0          0       node-4 0        unknown Ubuntu 0.167 0.033 0      0.6   unknown   18.533  3.133  3.967   1.433  1.6
2023-12-06T21:40:34.551349469Z aarch64      23.467  50176 1.48  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   42.133  2.9    23.433  6.3    6.3
2023-12-06T21:41:04.659955576Z aarch64      15.3    50176 1.013 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   28.4    2.467  15.3    4.067  4.067
2023-12-06T21:41:34.612063223Z aarch64      31.353  50176 1.919 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   45.58   2.599  31.386  7.53   7.53
2023-12-06T21:42:04.563392794Z aarch64      15.14   50176 1.08  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   30.146  2.568  15.106  4.235  4.235
2023-12-06T21:42:34.680069763Z aarch64      22.328  50176 1.466 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   39.191  2.999  22.328  5.899  5.899
2023-12-06T21:43:04.60112398Z  aarch64      24.372  50176 1.467 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   38.275  2.434  24.372  5.968  5.968
2023-12-06T21:43:34.547481111Z aarch64      18.833  50176 1.187 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   34      2.4    18.833  5.067  5.067
2023-12-06T21:44:04.628708501Z aarch64      24.661  50176 1.626 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   41.191  2.866  24.695  5.999  5.999
2023-12-06T21:44:34.612074616Z aarch64      15.836  50176 1.12  sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   28.005  2.4    15.803  4.067  4.067
2023-12-06T21:45:04.563587086Z aarch64      17.5    50176 1.133 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   34      2.667  17.5    4.733  4.733
2023-12-06T21:45:34.547618582Z aarch64      19      50176 1.227 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   36      2.967  19      5.167  5.167
2023-12-06T21:46:04.56367512Z  aarch64      18.267  50176 1.187 sda       0          0       node-4 0        unknown Ubuntu 0     0     0      0     unknown   32      2.533  18.267  4.9    4.9
