time                           architecture backlog bsize busy  disk_name flush_busy flushes host   inflight mtm     os     reads rkb rmerge rmsec serial_no wkb       wmerge   wmsec   writes  xfers
2023-12-06T15:17:34.419540299Z aarch64      19.133  71680 1.267 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   34.8      3.1      19.133  5.2     5.2
2023-12-06T15:18:04.435693567Z aarch64      58.266  71680 3.867 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   575.997   125.199  58.3    15.6    15.6
2023-12-06T15:18:34.419221506Z aarch64      951.029 78848 48.88 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   43096.455 1140.061 950.995 121.133 121.133
2023-12-06T15:19:04.43552313Z  aarch64      25.1    78848 1.587 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   318.132   4.567    25.1    5.967   5.967
2023-12-06T15:19:34.423360037Z aarch64      16.4    78848 1.067 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   28.667    2.267    16.4    4.433   4.433
2023-12-06T15:20:04.435433816Z aarch64      15.967  78848 1.12  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   29.867    2.367    15.967  4.5     4.5
2023-12-06T15:20:34.423882758Z aarch64      16.067  78848 1.04  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   29.067    2.1      16.067  4.433   4.433
2023-12-06T15:21:04.435506902Z aarch64      16      78848 1.067 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   30        2.433    16      4.4     4.4
2023-12-06T15:21:34.423720749Z aarch64      25.3    78848 1.52  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   41.866    2.8      25.3    6.7     6.7
2023-12-06T15:22:04.439441073Z aarch64      16.4    78848 1.107 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   32.267    2.8      16.4    4.667   4.667
2023-12-06T15:22:34.419512234Z aarch64      20.133  78848 1.28  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   36.266    2.9      20.133  5.5     5.5
2023-12-06T15:23:04.44109989Z  aarch64      20      77824 1.28  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   35.333    2.8      20      5.4     5.4
2023-12-06T15:23:34.419582997Z aarch64      19.633  77824 1.32  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   36.4      3.133    19.633  5.433   5.433
2023-12-06T15:24:04.435584605Z aarch64      16.133  77824 1.04  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   27.333    1.867    16.133  4.4     4.4
2023-12-06T15:24:34.423576212Z aarch64      18.267  77824 1.213 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   33.6      2.9      18.3    4.933   4.933
2023-12-06T15:25:04.435645782Z aarch64      4.067   77824 0.48  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   15.067    2.233    4.033   1.5     1.5
2023-12-06T15:25:34.423917166Z aarch64      17.767  77824 1.213 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   31.067    2.1      17.767  4.933   4.933
2023-12-06T15:26:04.435789588Z aarch64      17.233  77824 1.12  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   31.467    2.633    17.233  4.633   4.633
2023-12-06T15:26:34.419578546Z aarch64      27.9    77824 1.667 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   43.866    2.6      27.9    7.333   7.333
2023-12-06T15:27:04.435668615Z aarch64      10.067  77824 0.773 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   23.2      2.433    10.067  3       3
2023-12-06T15:27:34.451668398Z aarch64      15.5    77824 0.973 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   30.133    2.733    15.5    4.233   4.233
2023-12-06T15:28:04.435770961Z aarch64      19.667  77824 1.227 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   34        2.667    19.667  5.267   5.267
2023-12-06T15:28:34.45168207Z  aarch64      14.733  77824 1.027 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   28.4      2.467    14.733  4.133   4.133
2023-12-06T15:29:04.439742772Z aarch64      14.767  77824 1.027 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   27.333    2.3      14.8    4.2     4.2
2023-12-06T15:29:34.45163395Z  aarch64      15.567  77824 1.053 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   28.133    2.5      15.533  4.3     4.3
2023-12-06T15:30:04.439736995Z aarch64      13.367  77824 0.933 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   25.067    2.333    13.4    3.7     3.7
2023-12-06T15:30:34.452461741Z aarch64      15.033  77824 1.067 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   25.733    1.933    15      4.2     4.2
2023-12-06T15:31:04.43996331Z  aarch64      17.367  76800 1.24  sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   35.333    3.6      17.367  4.667   4.667
2023-12-06T15:31:34.451446285Z aarch64      34.133  76800 2.293 sda       0          0       node-4 0        unknown Ubuntu 0     0   0      0     unknown   69.6      7.167    34.133  9.533   9.533
