app,scen,case,time
gromacs,A,C1,473
gromacs,A,C1,472
gromacs,A,C1,490
gromacs,A,C2,199
gromacs,A,C2,201
gromacs,A,C2,201
gromacs,A,C3,168
gromacs,A,C3,164
gromacs,A,C3,165
gromacs,B,C1,330
gromacs,B,C1,330
gromacs,B,C1,331
gromacs,B,C2,296
gromacs,B,C2,298
gromacs,B,C2,295
gromacs,B,C3,203
gromacs,B,C3,185
gromacs,B,C3,186
gromacs,C,C1,425
gromacs,C,C1,425
gromacs,C,C1,425
gromacs,C,C2,331
gromacs,C,C2,328
gromacs,C,C2,394
gromacs,C,C3,229
gromacs,C,C3,193
gromacs,C,C3,195
gromacs,D,C1,520
gromacs,D,C1,517
gromacs,D,C1,521
gromacs,D,C2,406
gromacs,D,C2,498
gromacs,D,C2,498
gromacs,D,C3,199
gromacs,D,C3,183
gromacs,D,C3,183
