app,scen,case,time
stream-mpi,A,C1,557
stream-mpi,A,C1,557
stream-mpi,A,C1,577
stream-mpi,A,C2,218
stream-mpi,A,C2,218
stream-mpi,A,C2,220
stream-mpi,A,C3,161
stream-mpi,A,C3,161
stream-mpi,A,C3,139
stream-mpi,B,C1,371
stream-mpi,B,C1,370
stream-mpi,B,C1,369
stream-mpi,B,C2,316
stream-mpi,B,C2,315
stream-mpi,B,C2,313
stream-mpi,B,C3,192
stream-mpi,B,C3,191
stream-mpi,B,C3,191
stream-mpi,C,C1,475
stream-mpi,C,C1,472
stream-mpi,C,C1,474
stream-mpi,C,C2,418
stream-mpi,C,C2,421
stream-mpi,C,C2,421
stream-mpi,C,C3,232
stream-mpi,C,C3,221
stream-mpi,C,C3,222
stream-mpi,D,C1,584
stream-mpi,D,C1,557
stream-mpi,D,C1,584
stream-mpi,D,C2,527
stream-mpi,D,C2,530
stream-mpi,D,C2,541
stream-mpi,D,C3,242
stream-mpi,D,C3,251
stream-mpi,D,C3,253
